timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB]
2021/07/28 13:54:09.368, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:10.390, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:11.398, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:12.417, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:13.425, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:14.437, NVIDIA GeForce GTX 1070, 14 %, 22 %, 846 MiB, 7346 MiB
2021/07/28 13:54:15.445, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:16.458, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:17.465, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:18.479, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:19.489, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:20.499, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:21.510, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:22.516, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:23.534, NVIDIA GeForce GTX 1070, 15 %, 22 %, 846 MiB, 7346 MiB
2021/07/28 13:54:24.549, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:25.558, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:26.564, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:27.570, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
2021/07/28 13:54:28.582, NVIDIA GeForce GTX 1070, 13 %, 21 %, 846 MiB, 7346 MiB
